date,concentration,day,month,year,day_of_week,timestamp,month_sin,month_cos,years_since_start,season
2018-02-25,0.0,25,2,2018,6,1519516800.0,0.8660254037844386,0.5000000000000001,0,1
2018-02-26,0.0,26,2,2018,0,1519603200.0,0.8660254037844386,0.5000000000000001,0,1
2018-02-27,0.0,27,2,2018,1,1519689600.0,0.8660254037844386,0.5000000000000001,0,1
2018-02-28,0.0,28,2,2018,2,1519776000.0,0.8660254037844386,0.5000000000000001,0,1
2018-03-01,0.0,1,3,2018,3,1519862400.0,1.0,6.123233995736766e-17,0,2
2018-03-02,0.0,2,3,2018,4,1519948800.0,1.0,6.123233995736766e-17,0,2
2018-03-03,0.0,3,3,2018,5,1520035200.0,1.0,6.123233995736766e-17,0,2
2018-03-04,0.0,4,3,2018,6,1520121600.0,1.0,6.123233995736766e-17,0,2
2018-03-05,0.0,5,3,2018,0,1520208000.0,1.0,6.123233995736766e-17,0,2
2018-03-06,0.0,6,3,2018,1,1520294400.0,1.0,6.123233995736766e-17,0,2
2018-03-07,0.0,7,3,2018,2,1520380800.0,1.0,6.123233995736766e-17,0,2
2018-03-08,0.0,8,3,2018,3,1520467200.0,1.0,6.123233995736766e-17,0,2
2018-03-09,0.0,9,3,2018,4,1520553600.0,1.0,6.123233995736766e-17,0,2
2018-03-10,0.0,10,3,2018,5,1520640000.0,1.0,6.123233995736766e-17,0,2
2018-03-11,0.0,11,3,2018,6,1520726400.0,1.0,6.123233995736766e-17,0,2
2018-03-12,0.0,12,3,2018,0,1520812800.0,1.0,6.123233995736766e-17,0,2
2018-03-13,0.023856858846918492,13,3,2018,1,1520899200.0,1.0,6.123233995736766e-17,0,2
2018-03-14,0.01427796855232243,14,3,2018,2,1520985600.0,1.0,6.123233995736766e-17,0,2
2018-03-15,0.0,15,3,2018,3,1521072000.0,1.0,6.123233995736766e-17,0,2
2018-03-16,0.0,16,3,2018,4,1521158400.0,1.0,6.123233995736766e-17,0,2
2018-03-17,0.0,17,3,2018,5,1521244800.0,1.0,6.123233995736766e-17,0,2
2018-03-18,0.0,18,3,2018,6,1521331200.0,1.0,6.123233995736766e-17,0,2
2018-03-19,0.0189770468100488,19,3,2018,0,1521417600.0,1.0,6.123233995736766e-17,0,2
2018-03-20,0.0,20,3,2018,1,1521504000.0,1.0,6.123233995736766e-17,0,2
2018-03-21,0.0,21,3,2018,2,1521590400.0,1.0,6.123233995736766e-17,0,2
2018-03-22,0.00957889029459606,22,3,2018,3,1521676800.0,1.0,6.123233995736766e-17,0,2
2018-03-23,0.00957889029459606,23,3,2018,4,1521763200.0,1.0,6.123233995736766e-17,0,2
2018-03-24,0.00957889029459606,24,3,2018,5,1521849600.0,1.0,6.123233995736766e-17,0,2
2018-03-25,0.01427796855232243,25,3,2018,6,1521936000.0,1.0,6.123233995736766e-17,0,2
2018-03-26,0.0,26,3,2018,0,1522022400.0,1.0,6.123233995736766e-17,0,2
2018-03-27,0.0,27,3,2018,1,1522108800.0,1.0,6.123233995736766e-17,0,2
2018-03-28,0.0,28,3,2018,2,1522195200.0,1.0,6.123233995736766e-17,0,2
2018-03-29,0.0,29,3,2018,3,1522281600.0,1.0,6.123233995736766e-17,0,2
2018-03-30,0.023856858846918492,30,3,2018,4,1522368000.0,1.0,6.123233995736766e-17,0,2
2018-03-31,0.0,31,3,2018,5,1522454400.0,1.0,6.123233995736766e-17,0,2
2018-04-01,0.0,1,4,2018,6,1522540800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-02,0.0046990782577263695,2,4,2018,0,1522627200.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-05,0.00957889029459606,5,4,2018,3,1522886400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-06,0.00957889029459606,6,4,2018,4,1522972800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-07,0.0,7,4,2018,5,1523059200.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-08,0.0,8,4,2018,6,1523145600.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-09,0.01427796855232243,9,4,2018,0,1523232000.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-10,0.038134827399240914,10,4,2018,1,1523318400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-11,0.06199168624615941,11,4,2018,2,1523404800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-12,0.05241279595156335,12,4,2018,3,1523491200.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-13,0.07138984276161216,13,4,2018,4,1523577600.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-14,0.09524670160853063,14,4,2018,5,1523664000.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-15,0.1048255919031267,15,4,2018,6,1523750400.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-16,0.09524670160853063,16,4,2018,0,1523836800.0,0.8660254037844387,-0.49999999999999983,0,2
2018-04-17,0.01427796855232243,17,4,2018,1,1523923200.0,0.8660254037844387,-0.49999999999999983,0,2
